역사명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물
기준,150㎍/㎥이하,"1,000ppm이하",100㎍/㎥이하,10ppm이하,0.05ppm이하,148Bq/㎥이하,500㎍/㎥이하
판암,66.8,488,2.7,0.7,,,
신흥,85.2,523,2.8,0.7,,,
대동,65.6,537,2.3,0.7,,,
대전,37.5,500,1.8,0.7,,,
중앙로,26.7,448,2,0.6,,,
중구청,33.2,472,2,0.6,,,
서대전네거리,36.8,477,2.8,0.6,,,
오룡,40.5,476,2.6,0.6,,,
용문,42.8,501,3.5,0.6,,,
탄방,55.1,412,1.9,0.5,,,
시청,41.6,461,2.5,0.5,,,
정부청사,29.7,433,2.7,0.5,,,
갈마,19.7,464,2.6,0.6,0.025,24.8,19
월평,17,469,3.6,0.6,0.024,22.2,31.6
갑천,26,424,2.7,0.7,0.029,24.8,16.6
유성온천,54.6,521,3.8,0.7,0.028,11.3,21.1
구암,32.2,444,3.3,0.6,0.032,19.4,14.8
현충원,42.8,429,2.4,0.7,0.018,30.3,26.9
월드컵경기장,38.4,468,3.9,1,0.035,35.7,5.4
노은,53.8,478,3.5,1,0.024,24.8,24.6
지족,43.1,444,2.2,0.8,0.011,27.6,17.8
반석,39.1,475,1.6,0.8,0.015,23.5,24.8
