연도,역번호,역명,1월 승차, 1월 하차,2월 승차, 2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2006,101,판암,,,,,"57,918","56,830","86,489","83,103","88,698","84,565","78,120","73,760","77,847","70,943","80,852","74,421","86,261","80,024","86,792","78,402","89,205","80,998","94,766","84,120"
2006,102,신흥,,,,,"12,417","11,903","19,048","17,662","21,244","19,951","24,508","22,426","27,129","24,895","28,667","25,946","27,414","25,618","27,562","24,844","28,566","26,453","30,725","27,571"
2006,103,대동,,,,,"47,637","38,769","79,088","65,962","82,138","67,315","71,773","59,900","66,322","54,857","68,116","56,590","78,193","64,368","73,180","60,808","80,222","66,670","80,293","65,700"
2006,104,대전,,,,,"105,283","94,989","165,879","148,200","178,925","159,012","161,312","143,681","160,308","145,144","167,906","151,076","167,185","152,018","168,145","152,150","172,288","157,093","187,736","173,044"
2006,105,중앙로,,,,,"84,798","83,668","126,151","128,825","136,270","140,409","114,018","118,380","122,510","127,381","125,122","129,547","116,004","122,757","116,639","125,239","116,848","124,034","145,398","157,563"
2006,106,중구청,,,,,"20,785","22,693","33,209","35,426","34,878","37,196","33,530","35,458","32,309","34,719","32,085","34,479","34,894","36,789","32,323","34,262","37,768","38,551","37,922","40,226"
2006,107,서대전네거리,,,,,"63,871","63,511","98,539","99,171","105,395","107,437","98,566","100,263","94,214","96,305","95,533","98,201","96,807","98,473","96,200","98,432","101,098","101,654","116,690","116,699"
2006,108,오룡,,,,,"32,723","26,769","54,477","46,210","55,481","48,382","51,239","44,666","50,063","43,138","51,879","44,475","56,789","48,896","53,806","46,341","59,782","51,423","60,908","52,532"
2006,109,용문,,,,,"58,434","58,914","98,188","96,521","104,772","101,875","92,952","91,352","94,106","93,339","95,145","95,007","101,164","100,038","100,134","98,916","104,077","103,969","115,133","111,879"
2006,110,탄방,,,,,"30,082","36,798","53,082","62,403","58,805","68,663","55,697","62,942","55,379","63,275","55,855","63,800","59,601","67,913","58,001","66,068","62,878","71,716","70,164","79,242"
2006,111,시청,,,,,"85,306","85,620","121,855","127,198","121,297","127,801","105,000","111,921","104,045","111,554","102,251","110,072","105,026","114,163","99,600","109,091","107,911","119,008","120,015","132,463"
2006,112,정부청사,,,,,"77,137","87,737","120,081","135,438","131,525","147,927","113,507","128,715","112,001","125,696","113,725","129,258","119,843","134,210","120,465","134,281","125,149","139,945","134,828","148,522"
2006,113,갈마,,,,,,,,,,,,,,,,,,,,,,,,
2006,114,월평,,,,,,,,,,,,,,,,,,,,,,,,
2006,115,갑천,,,,,,,,,,,,,,,,,,,,,,,,
2006,116,유성온천,,,,,,,,,,,,,,,,,,,,,,,,
2006,117,구암,,,,,,,,,,,,,,,,,,,,,,,,
2006,118,현충원,,,,,,,,,,,,,,,,,,,,,,,,
2006,119,월드컵경기장,,,,,,,,,,,,,,,,,,,,,,,,
2006,120,노은,,,,,,,,,,,,,,,,,,,,,,,,
2006,121,지족,,,,,,,,,,,,,,,,,,,,,,,,
2006,122,반석,,,,,,,,,,,,,,,,,,,,,,,,
2007,101,판암,"93,353","82,701","84,619","74,943","98,570","91,510","107,200","98,917","119,049","108,048","115,289","105,099","115,697","102,718","109,886","97,581","107,504","95,888","123,999","111,113","119,416","106,116","123,077","106,849"
2007,102,신흥,"31,504","28,059","28,910","25,577","32,111","29,055","35,554","32,108","45,624","39,848","47,342","41,384","48,128","41,727","47,302","40,109","44,052","37,484","50,036","42,027","49,628","40,986","51,556","41,466"
2007,103,대동,"73,812","62,022","67,618","56,571","97,937","81,511","108,918","91,110","129,385","107,829","120,166","102,133","107,925","88,425","104,064","84,967","110,771","90,562","130,084","106,840","124,686","102,040","115,449","93,612"
2007,104,대전,"189,347","172,340","175,422","161,375","194,487","180,248","228,759","215,342","280,845","267,488","268,322","260,085","262,138","251,216","257,231","248,178","247,561","239,307","276,507","266,881","269,203","262,858","280,181","273,752"
2007,105,중앙로,"132,568","142,632","135,223","144,079","138,901","146,419","152,288","163,674","198,841","214,138","182,850","197,741","191,015","205,359","181,072","193,994","166,898","180,409","186,555","203,001","178,899","194,913","208,087","226,183"
2007,106,중구청,"37,291","40,659","34,030","36,507","41,205","42,710","49,103","52,114","59,075","63,782","58,563","63,908","57,289","62,522","53,380","57,573","50,780","53,205","60,610","66,057","59,266","63,624","58,043","63,202"
2007,107,서대전네거리,"111,912","113,295","104,301","106,249","117,578","118,815","138,360","140,062","182,154","184,755","176,321","181,739","178,291","183,414","166,440","171,358","153,496","158,576","179,236","184,689","177,347","182,542","190,569","194,520"
2007,108,오룡,"60,444","52,826","55,425","48,312","66,700","58,291","76,905","68,531","91,716","82,751","92,459","82,845","88,370","78,693","84,576","74,397","80,501","71,028","97,415","86,823","96,820","85,388","96,676","84,977"
2007,109,용문,"110,507","109,839","103,136","102,003","117,616","116,816","133,483","134,040","167,605","167,709","166,328","164,814","166,776","165,986","154,149","154,970","148,152","148,826","172,718","174,106","170,013","171,637","177,380","179,321"
2007,110,탄방,"68,498","76,568","62,675","70,176","72,852","80,668","81,605","90,918","97,181","109,905","96,103","107,847","95,443","108,787","90,887","102,896","85,411","97,722","100,850","115,300","98,806","114,336","104,379","120,535"
2007,111,시청,"121,464","131,550","111,634","120,388","121,028","133,509","139,222","152,877","172,481","190,211","166,674","182,209","173,812","188,923","163,088","178,121","146,650","163,320","176,523","195,472","173,465","193,848","183,414","206,519"
2007,112,정부청사,"129,639","143,588","122,784","135,205","138,866","153,604","134,425","146,041","137,226","149,325","129,077","140,775","126,296","140,027","118,508","131,763","105,662","119,866","134,689","148,024","125,687","141,162","130,219","146,250"
2007,113,갈마,, - ,, - ,, - ,"30,554","33,686","72,124","72,226","74,095","72,769","75,165","73,889","70,413","69,248","68,806","67,215","80,633","78,498","80,937","78,330","84,118","80,503"
2007,114,월평,, - ,, - ,, - ,"37,922","38,588","85,933","85,183","88,495","86,882","88,604","88,230","85,052","84,651","82,272","81,014","94,491","92,512","95,767","93,739","98,950","96,438"
2007,115,갑천,, - ,, - ,, - ,"9,711","10,959","22,353","23,965","23,379","24,403","23,316","24,153","22,253","22,749","21,359","21,513","26,020","26,835","26,167","26,316","26,418","26,704"
2007,116,유성온천,, - ,, - ,, - ,"54,981","52,414","121,887","116,674","119,282","114,872","108,069","106,453","102,466","101,329","107,806","103,933","130,378","125,507","130,799","127,029","134,130","131,347"
2007,117,구암,, - ,, - ,, - ,"28,646","28,090","62,556","60,513","65,025","63,190","63,088","61,471","59,298","57,893","58,721","56,553","69,398","66,516","68,905","65,679","68,561","65,984"
2007,118,현충원,, - ,, - ,, - ,"11,302","12,544","31,722","29,636","24,849","22,708","19,277","15,951","20,578","16,974","24,465","22,643","33,323","29,935","30,644","27,374","24,673","21,041"
2007,119,월드컵경기장,, - ,, - ,, - ,"24,079","23,020","51,715","49,713","54,884","50,710","52,493","48,394","48,092","45,686","43,665","40,743","52,490","50,132","51,149","47,197","52,886","48,080"
2007,120,노은,, - ,, - ,, - ,"36,258","35,793","75,780","75,263","72,384","71,113","74,225","74,357","71,072","71,958","63,736","65,252","76,454","77,865","76,576","76,950","81,487","81,214"
2007,121,지족,, - ,, - ,, - ,"31,105","29,872","64,274","62,545","59,253","57,409","58,517","57,635","57,671","56,560","54,229","53,552","67,097","66,919","68,351","67,983","65,359","64,032"
2007,122,반석,, - ,, - ,, - ,"39,455","38,376","71,428","66,962","67,440","63,676","68,546","64,802","65,355","61,511","59,396","55,889","68,875","65,133","67,732","62,509","71,222","65,392"
2008,101,판암,"118,406","103,846","105,219","91,621","126,831","113,677","126,138","112,321","128,908","114,771","122,258","108,454","124,500","108,811","114,108","100,551","116,687","104,429","127,438","114,178","121,443","108,199","126,880","112,876"
2008,102,신흥,"51,653","41,143","45,237","36,237","52,803","43,298","51,423","42,147","53,270","42,830","51,937","42,265","54,744","44,723","50,662","41,340","49,833","40,741","54,066","44,678","51,098","42,111","56,784","46,252"
2008,103,대동,"105,815","86,342","92,749","76,474","140,112","116,652","137,784","113,868","137,756","113,963","123,295","101,568","118,060","94,017","104,601","85,124","124,488","100,679","135,820","110,452","130,118","104,715","129,051","103,953"
2008,104,대전,"272,688","263,931","243,845","239,237","280,495","272,879","273,434","268,204","288,652","282,751","275,840","269,856","271,983","266,476","266,033","261,454","263,019","258,481","280,482","275,169","274,377","266,808","292,285","285,443"
2008,105,중앙로,"185,443","202,428","183,090","196,262","193,571","210,903","176,752","194,250","196,534","211,946","171,339","184,795","187,872","204,239","175,649","190,641","166,384","183,755","177,744","197,876","175,362","192,044","209,774","229,310"
