년월,요일,상/하행,열차번호,출발역,출발시간,도착역,도착시간,혼잡도,재차인원,영업일,최고혼잡역
201401,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,146,690,20140103,탄방
201401,월요일,하행,1047,판암,08:12:00  ,반석,08:52:00  ,141,668,20140106,용문
201402,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,148,702,20140214,탄방
201402,월요일,하행,1051,판암,08:24:00  ,반석,09:04:00  ,141,666,20140210,용문
201403,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,160,759,20140314,탄방
201403,월요일,하행,1049,판암,08:18:00  ,반석,08:58:00  ,146,694,20140317,용문
201404,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,143,676,20140404,탄방
201404,월요일,하행,1045,판암,08:06:00  ,반석,08:46:00  ,135,641,20140414,용문
201405,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,157,744,20140516,탄방
201405,월요일,하행,1051,판암,08:24:00  ,반석,09:04:00  ,138,656,20140519,용문
201406,금요일,상행,1228,반석,22:16:00  ,판암,22:56:00  ,169,800,20140613,월평
201406,금요일,하행,1183,판암,18:33:00  ,반석,19:13:00  ,145,686,20140613,오룡
201407,금요일,상행,1166,반석,18:01:00  ,판암,18:41:00  ,132,627,20140704,탄방
201407,월요일,하행,1051,판암,08:24:00  ,반석,09:04:00  ,136,645,20140714,용문
201408,금요일,상행,1146,반석,15:09:30  ,판암,15:51:30  ,158,751,20140815,구암
201408,금요일,하행,1011,판암,4:47:20,반석,5:42:00,211,1001,20140815,구암
201409,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,141,668,20140912,탄방
201409,금요일,하행,1187,판암,18:50:00  ,반석,19:30:00  ,160,757,20140905,오룡
201410,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,149,707,20141024,탄방
201410,월요일,하행,1049,판암,08:18:00  ,반석,08:58:00  ,155,734,20141013,용문
201411,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,150,711,20141107,탄방
201411,월요일,하행,1049,판암,08:18:00  ,반석,08:58:00  ,154,731,20141124,용문
201412,수요일,상행,1162,반석,17:48:00  ,판암,18:28:00  ,151,718,20141224,탄방
201412,월요일,하행,1049,판암,08:18:00  ,반석,08:58:00  ,208,988,20141208,용문
