년월,요일,상/하행,열차번호,출발역,출발시간,도착역,도착시간,최고혼잡도,재차인원,영업일,최고혼잡역
201801,목요일,상행,1042,반석,8:15:00,판암,8:55:00,200,953,20180111,갈마
201801,금요일,하행,1047,판암,8:12:00,반석,8:52:00,191,903,20180112,용문
201802,금요일,상행,1164,반석,17:55:00,판암,18:35:00,152,719,20180223,탄방
201802,월요일,하행,1049,판암,8:18:00,반석,8:58:00,127,602,20180212,용문
201803,금요일,상행,1164,반석,17:55:00,판암,18:35:00,165,782,20180316,탄방
201803,일요일,하행,1069,판암,11:20:00,반석,12:00:00,140,663,20180304,용문
201804,금요일,상행,1164,반석,17:55:00,판암,18:35:00,151,717,20180406,탄방
201804,월요일,하행,1059,판암,9:00:00,반석,9:40:00,127,604,20180402,용문
201805,금요일,상행,1164,반석,17:55:00,판암,18:35:00,153,724,20180518,탄방
201805,수요일,하행,1169,판암,17:50:00,반석,18:30:00,145,688,20180509,정부청사
201806,금요일,상행,1164,반석,17:55:00,판암,18:35:00,153,726,20180608,탄방
201806,월요일,하행,1049,판암,8:18:00,반석,8:58:00,130,615,20180611,용문
201807,금요일,상행,1164,반석,17:55:00,판암,18:35:00,145,689,20180727,탄방
201807,화요일,하행,1047,판암,8:12:00,반석,8:52:00,125,594,20180710,용문
201808,토요일,상행,1212,반석,23:05:00,판암,23:45:00,143,679,20180811,월드컵 경기장
201808,금요일,하행,1175,판암,18:06:00,반석,18:46:00,106,504,20180817,오룡
201809,금요일,상행,1164,반석,17:55:00,판암,18:35:00,144,681,20180907,탄방
201809,월요일,하행,1049,판암,8:18:00,반석,8:58:00,119,566,20180917,용문
201810,금요일,상행,1164,반석,17:55:00,판암,18:35:00,167,792,20181026,탄방
201810,금요일,하행,1049,판암,8:17:10,반석,9:00:20,129,613,20181019,용문
201811,금요일,상행,1164,반석,17:55:00,판암,18:35:00,152,721,20181109,탄방
201811,월요일,하행,1049,판암,8:18:00,반석,8:58:00,126,597,20181105,용문
201812,월요일,상행,1506,반석,24:53:10  ,판암,25:43:40  ,180,854,20181231,용문
201812,월요일,하행,1505,판암,24:58:20  ,반석,25:44:30  ,195,922,20181231,시청
