년월,요일,상/하행,열차번호,출발역,출발시간,도착역,도착시간,혼잡도,재차인원,영업일,최고혼잡역
201601,금요일,상행,1164,반석,17:55:00,판암,18:35:00,146,690,20160115,갈마
201601,월요일,하행,1049,판암,8:18:00,반석,8:58:00,128,607,20160125,용문
201602,금요일,상행,1164,반석,17:55:00,판암,18:35:00,152,722,20160219,갈마
201602,월요일,하행,1051,판암,8:24:00,반석,9:04:00,133,630,20160201,용문
201603,금요일,상행,1164,반석,17:55:00,판암,18:35:00,147,698,20160311,갈마
201603,토요일,하행,1087,판암,12:50:00,반석,13:30:00,155,735,20160326,갈마
201604,금요일,상행,1094,반석,12:10:00,판암,12:50:00,163,773,20160429,갑천
201604,월요일,하행,1049,판암,8:18:00,반석,8:58:00,157,743,20160404,용문
201605,목요일,상행,1074,반석,11:40:00,판암,12:20:00,146,692,20160505,유성온천
201605,월요일,하행,1053,판암,8:31:00,반석,9:11:00,145,685,20160523,용문
201606,금요일,상행,1164,반석,17:55:00,판암,18:35:00,144,684,20160617,갈마
201606,금요일,하행,1189,판암,19:00:00,반석,19:40:00,153,725,20160624,오룡
201607,수요일,상행,1046,반석,8:25:00,판암,9:05:00,165,784,20160713,탄방
201607,월요일,하행,1051,판암,8:24:00,반석,9:04:00,170,808,20160718,용문
201608,금요일,상행,1164,반석,17:55:00,판암,18:35:00,131,623,20160805,갈마
201608,목요일,하행,1161,판암,17:26:00,반석,18:06:00,152,719,20160811,오룡
201609,금요일,상행,1164,반석,17:55:00,판암,18:35:00,138,656,20160902,갈마
201609,목요일,하행,1045,판암,8:06:00,반석,8:46:00,166,785,20160929,용문
201610,목요일,상행,1164,반석,17:55:00,판암,18:35:00,136,645,20161013,갈마
201610,목요일,하행,1045,판암,8:06:00,반석,8:46:00,171,811,20161020,용문
201611,금요일,상행,1164,반석,17:55:00,판암,18:35:00,145,688,20161104,갈마
201611,금요일,하행,1047,판암,8:12:00,반석,8:52:00,175,828,20161118,용문
201612,금요일,상행,1164,반석,17:55:00,판암,18:35:00,158,751,20161202,갈마
201612,화요일,하행,1049,판암,8:18:00,반석,8:58:00,178,818,20161213,용문
