년월,요일,상/하행,열차번호,출발역,출발시간,도착역,도착시간,최고혼잡도,재차인원,영업일,최고혼잡역
201701,금요일,상행,1166,반석,18:01:00,판암,18:41:00,148,701,20170106,탄방
201701,월요일,하행,1049,판암,8:58:00,반석,8:58:00,180,853,20170102,용문
201702,금요일,상행,1166,반석,18:01:00,판암,18:41:00,180,855,20170217,시청
201702,화요일,하행,1055,판암,8:40:00,반석,9:20:00,169,802,20170214,용문
201703,금요일,상행,1166,반석,18:01:00,판암,18:41:00,168,796,20170310,탄방
201703,수요일,하행,1049,판암,8:18:00,반석,8:58:00,191,906,20170329,용문
201704,금요일,상행,1166,반석,18:01:00,판암,18:41:00,164,779,20170428,탄방
201704,월요일,하행,1049,판암,8:18:00,반석,8:58:00,178,846,20170410,용문
201705,수요일,상행,1166,반석,18:01:00,판암,18:41:00,171,810,20170524,탄방
201705,수요일,하행,1049,판암,8:18:00,반석,8:58:00,199,944,20170517,용문
201706,금요일,상행,1164,반석,17:55:00,판암,18:35:00,175,828,20170602,탄방
201706,수요일,하행,1047,판암,8:12:00,반석,8:52:00,186,880,20170614,용문
201707,금요일,상행,1162,반석,17:48:00,판암,18:28:00,181,859,20170728,탄방
201707,월요일,하행,1049,판암,8:18:00,반석,8:58:00,183,868,20170710,용문
201708,금요일,상행,1164,반석,17:55:00,판암,18:35:00,186,882,20170818,탄방
201708,수요일,하행,1043,판암,8:00:00,반석,8:40:00,164,779,20170802,용문
201709,일요일,상행,1210,반석,22:50:00,판암,23:30:00,259,1226,20170924,현충원
201709,금요일,하행,1181,판암,18:25:00,반석,19:05:00,175,829,20170929,오룡
201710,월요일,상행,1162,반석,17:48:00,판암,18:28:00,174,824,20171023,탄방
201710,월요일,하행,1047,판암,8:12:00,반석,8:52:00,199,944,20171023,용문
201711,금요일,상행,1164,반석,17:55:00,판암,18:35:00,150,713,20171124,탄방
201711,월요일,하행,1049,판암,8:18:00,반석,8:58:00,119,565,20171127,용문
201712,금요일,상행,1164,반석,17:55:00  ,판암,18:35:00  ,143,680,20171208,탄방
201712,일요일,하행,1503,판암,24:26:00  ,반석,25:10:10  ,129,612,20171231,시청
